language;language_level;role_object
English;A1;"{""setting"": ""Playing board games with friends."", ""roles"": [""player"", ""friend""], ""GPT_role"": ""friend"", ""user_role"": ""player""}"
English;A1;"{""setting"": ""Buying train tickets."", ""roles"": [""customer"", ""ticket agent""], ""GPT_role"": ""ticket agent"", ""user_role"": ""customer""}"
English;A1;"{""setting"": ""In a cafe."", ""roles"": [""customer"", ""barista""], ""GPT_role"": ""barista"", ""user_role"": ""customer""}"
English;A2;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}"
English;A2;"{""setting"": ""In emergency room of a hospital."", ""roles"": [""doctor"", ""patient""], ""GPT_role"": ""doctor"", ""user_role"": ""patient""}"
English;A2;"{""setting"": ""Talking to university professor about the exam."", ""roles"": [""student"", ""university professor""], ""GPT_role"": ""university professor"", ""user_role"": ""student""}"
English;B1;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}"
English;B1;"{""setting"": ""Buying tickets at the cinema."", ""roles"": [""customer"", ""ticket seller""], ""GPT_role"": ""ticket seller"", ""user_role"": ""customer""}"
English;B1;"{""setting"": ""Talking to university professor about the exam."", ""roles"": [""student"", ""university professor""], ""GPT_role"": ""university professor"", ""user_role"": ""student""}"
English;B2;"{""setting"": ""Playing board games with friends."", ""roles"": [""player"", ""friend""], ""GPT_role"": ""friend"", ""user_role"": ""player""}"
English;B2;"{""setting"": ""In a library, looking for Lord of the Rings books."", ""roles"": [""library patron"", ""librarian""], ""GPT_role"": ""librarian"", ""user_role"": ""library patron""}"
English;B2;"{""setting"": ""Talking to university professor about the exam."", ""roles"": [""student"", ""university professor""], ""GPT_role"": ""university professor"", ""user_role"": ""student""}"
English;C1;"{""setting"": ""In a cafe."", ""roles"": [""customer"", ""barista""], ""GPT_role"": ""barista"", ""user_role"": ""customer""}"
English;C1;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}"
English;C1;"{""setting"": ""On a date with a girl."", ""roles"": [""man"", ""woman""], ""GPT_role"": ""man"", ""user_role"": ""woman""}"
English;C2;"{""setting"": ""On a date with a girl."", ""roles"": [""man"", ""woman""], ""GPT_role"": ""man"", ""user_role"": ""woman""}"
English;C2;"{""setting"": ""Buying train tickets."", ""roles"": [""customer"", ""ticket agent""], ""GPT_role"": ""ticket agent"", ""user_role"": ""customer""}"
English;C2;"{""setting"": ""Asking for direction in an unknown city."", ""roles"": [""tourist"", ""local resident""], ""GPT_role"": ""local resident"", ""user_role"": ""tourist""}"
