,identity,ll_0,ll_1,ll_2,ll_rf_0,ll_rf_1,ll_rf_2
0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,3.0,3.0,3.0,3.0,3.0,2.8333333333333335,2.8333333333333335
2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5,3.0,3.0,3.0,3.0,2.3333333333333335,3.0,3.0
6,3.0,3.0,3.0,3.0,2.8333333333333335,3.0,3.0
7,3.0,3.0,3.0,3.0,3.0,3.0,3.0
8,2.8333333333333335,3.0,3.0,3.0,2.8333333333333335,3.0,3.0
9,3.0,3.0,3.0,3.0,3.0,3.0,3.0
10,3.0,3.0,3.0,3.0,3.0,3.0,3.0
11,3.0,3.0,3.0,3.0,3.0,3.0,2.5
12,3.0,3.0,3.0,3.0,3.0,3.0,2.8333333333333335
13,3.0,3.0,3.0,3.0,2.8333333333333335,3.0,3.0
14,3.0,3.0,3.0,3.0,3.0,3.0,3.0
15,3.0,3.0,3.0,2.8333333333333335,3.0,3.0,2.8333333333333335
16,3.0,2.8333333333333335,3.0,3.0,2.8333333333333335,2.5,2.8333333333333335
17,3.0,3.0,3.0,3.0,3.0,3.0,3.0
